species_id	representative	MGnify_accession	species_closest	ani_closest	gtpro_kmer_counts	phyeco_marker_counts	phyeco_pass_ratio	pangene_counts	genome_counts	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	Lineage	Continent
100001	GUT_GENOME000001	MGYG-HGUT-00001	100049	83.356	NA	15	1	4893	4	Isolate	3219614	137	47258	28.26	98.59	0.7	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__	Europe
100002	GUT_GENOME000004	MGYG-HGUT-00002	100201	84.86955	29822	15	1	147601	358	Isolate	4433090	100	109266	42.6	99.37	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	Europe
100003	GUT_GENOME000008	MGYG-HGUT-00003	103279	93.41555	1115	15	1	113409	1178	Isolate	3229507	35	158570	58.52	100	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	Europe
100004	GUT_GENOME000010	MGYG-HGUT-00004	103876	78.1762	NA	15	1	12599	24	Isolate	3698872	105	90296	54.19	98.66	0.22	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis	Europe
100005	GUT_GENOME000017	MGYG-HGUT-00005	101623	85.84275	NA	15	1	5488	2	Isolate	3930422	32	350032	28.59	99.3	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter glycolicus_A	Europe
100006	GUT_GENOME000020	MGYG-HGUT-00006	100011	93.07075	NA	15	1	2656	1	Isolate	2822523	36	121380	32.65	99.26	1.39	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus	Europe
100007	GUT_GENOME000021	MGYG-HGUT-00007	100008	81.1213	NA	15	1	1930	1	Isolate	2016163	24	124464	35.52	98.94	0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus intestinalis	Europe
100008	GUT_GENOME000022	MGYG-HGUT-00008	103690	85.38085	69161	15	1	10178	24	Isolate	1971706	40	87745	34.34	99.22	0.78	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii	Europe
100009	GUT_GENOME000024	MGYG-HGUT-00009	100097	90.9924	NA	15	0.933333333333333	2333	2	Isolate	2219785	153	31439	39.8	99.21	0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_B;s__Lactobacillus_B murinus	Europe
100010	GUT_GENOME000029	MGYG-HGUT-00010	NA	NA	NA	15	1	2755	1	Isolate	2726398	58	74967	31.83	99.45	1.66	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus_A;s__Staphylococcus_A lentus	Europe
100011	GUT_GENOME000030	MGYG-HGUT-00011	100006	93.07075	NA	15	1	2784	1	Isolate	2927352	14	523819	32.39	99.44	1.39	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus_B	Europe
100012	GUT_GENOME000031	MGYG-HGUT-00012	100227	78.61245	NA	15	1	4025	1	Isolate	4053578	22	610128	43.87	99.81	0.2	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis	Europe
100013	GUT_GENOME000035	MGYG-HGUT-00013	101378	92.66575	16905	15	0.6	28985	36	Isolate	6368131	56	251050	42.15	99.08	0.08	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	Europe
100014	GUT_GENOME000046	MGYG-HGUT-00014	103550	83.04045	95646	14	1	23054	72	Isolate	4564490	77	140666	28.52	99.19	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum	Europe
100015	GUT_GENOME000047	MGYG-HGUT-00015	102519	90.7016	NA	15	0.933333333333333	10520	4	Isolate	4878624	76	102700	55.32	98.78	0.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter mori	Europe
100016	GUT_GENOME000049	MGYG-HGUT-00016	101862	93.0665	88230	15	1	34546	155	Isolate	2568483	48	108113	45.3	97.32	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum sp001304995	Europe
100017	GUT_GENOME000054	MGYG-HGUT-00017	103281	94.28765	7887	15	1	13732	43	Isolate	2173077	62	71741	59.71	100	0.81	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	Europe
100018	GUT_GENOME000055	MGYG-HGUT-00018	100364	91.49245	31070	15	1	49550	374	Isolate	3280206	34	193753	43.2	99.33	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus	Europe
100019	GUT_GENOME000057	MGYG-HGUT-00019	102504	90.98775	NA	15	0.866666666666667	4582	1	Isolate	4947645	86	130315	56.16	99.22	0.18	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__	Europe
100020	GUT_GENOME000064	MGYG-HGUT-00020	102389	82.88205	NA	15	1	2437	2	Isolate	1923676	101	39114	41.82	99.18	0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_D;s__Lactobacillus_D curvatus	Europe
100021	GUT_GENOME000067	MGYG-HGUT-00021	104046	90.76695	4226	15	1	2967	14	Isolate	1945991	42	80261	40.13	99.46	0.54	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_H;s__Lactobacillus_H vaginalis_A	Europe
100022	GUT_GENOME000092	MGYG-HGUT-00022	100039	86.3231	9930	15	1	488965	1256	Isolate	3052215	70	117809	56.44	100	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C	Europe
100023	GUT_GENOME000094	MGYG-HGUT-00023	100199	94.01935	NA	15	0.8	12215	15	Isolate	2130721	26	135306	41.65	98.81	0.17	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis	Europe
100024	GUT_GENOME000104	MGYG-HGUT-00024	100075	82.74215	NA	15	1	6976	3	Isolate	3641596	33	215844	28.16	99.3	0.7	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium massiliensis	Europe
100025	GUT_GENOME000106	MGYG-HGUT-00025	100011	80.56785	NA	15	1	2682	1	Isolate	2822365	39	300583	33.06	99.45	1.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus nepalensis	Europe
100026	GUT_GENOME000109	MGYG-HGUT-00026	100817	93.0227	2319	15	1	78768	280	Isolate	2527394	196	27326	34.16	100	0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium mitsuokai	Europe
100027	GUT_GENOME000111	MGYG-HGUT-00027	101316	89.9764	71003	15	1	37775	214	Isolate	2393568	52	109196	58.19	99.81	0.55	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii	Europe
100028	GUT_GENOME000113	MGYG-HGUT-00028	100065	90.8584	16945	15	1	32136	217	Isolate	2458424	26	229861	36.66	99.33	2.01	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus_A	Europe
100029	GUT_GENOME000122	MGYG-HGUT-00029	101378	86.11175	30466	15	1	53999	102	Isolate	4415867	50	139653	42.18	93.87	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii	Europe
100030	GUT_GENOME000128	MGYG-HGUT-00030	NA	NA	81003	15	1	26063	93	Isolate	3025028	36	183902	34.03	99.33	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-603;s__CAG-603 sp900066105	Europe
100031	GUT_GENOME000131	MGYG-HGUT-00031	100263	93.81395	NA	15	0.733333333333333	21558	39	Isolate	3671861	41	160784	43.93	99.37	0.32	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066205	Europe
100032	GUT_GENOME000133	MGYG-HGUT-00032	100150	86.87565	193701	15	1	65023	150	Isolate	6969460	95	157466	48.94	99.37	1.58	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella effluvii	Europe
100033	GUT_GENOME000136	MGYG-HGUT-00033	NA	NA	36581	15	1	151347	1329	Isolate	3010183	70	91380	38.23	97.99	1.01	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	Europe
100034	GUT_GENOME000137	MGYG-HGUT-00034	NA	NA	NA	15	1	2662	2	Isolate	2753524	27	287274	47.05	98.66	0.13	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilimaliae;s__Massilimaliae timonensis	Europe
100035	GUT_GENOME000139	MGYG-HGUT-00035	NA	NA	15453	15	0.933333333333333	8591	27	Isolate	3529520	23	286467	44.91	99.37	1.74	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica	Europe
100036	GUT_GENOME000141	MGYG-HGUT-00036	NA	NA	47152	15	1	77488	440	Isolate	2411069	29	209319	37.71	99.33	0.34	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__GCA-900066995;s__GCA-900066995 sp900291955	Europe
100037	GUT_GENOME000147	MGYG-HGUT-00037	100143	79.9881	NA	15	1	9084	29	Isolate	2730778	111	53020	34.23	91.6	1.84	d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter sp001543345	Europe
100038	GUT_GENOME000149	MGYG-HGUT-00038	102279	90.50905	4082	15	1	81935	573	Isolate	3124251	51	145632	41.46	99.42	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena	Europe
100039	GUT_GENOME000152	MGYG-HGUT-00039	100195	88.77095	121790	15	1	79572	220	Isolate	2848015	65	96457	57.73	99.32	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_H	Europe
100040	GUT_GENOME000159	MGYG-HGUT-00040	102954	78.40905	NA	15	1	2346	1	Isolate	2646768	35	135012	47.78	98.58	2.13	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191;s__UBA1191 sp900066305	Europe
100041	GUT_GENOME000166	MGYG-HGUT-00041	104250	93.1521	4784	15	1	237876	1372	Isolate	3646129	83	101294	45.85	99.52	1.45	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066365	Europe
100042	GUT_GENOME000187	MGYG-HGUT-00042	104599	86.02535	NA	15	1	3176	2	Isolate	3613213	51	163040	40.19	97.01	0.12	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_A;s__Bacteroides_A sp900066445	Europe
100043	GUT_GENOME000189	MGYG-HGUT-00043	104479	91.9404	102156	15	1	27354	54	Isolate	4183526	127	66737	46.41	98.88	0.56	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_A;s__Bacteroides_A sp900066455	Europe
100044	GUT_GENOME000192	MGYG-HGUT-00044	100138	92.02245	4561	15	1	232874	1771	Isolate	4300419	39	240621	45.3	99.62	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae	Europe
100045	GUT_GENOME000196	MGYG-HGUT-00045	100670	92.00545	15622	15	1	226595	1265	Isolate	2722755	46	118377	29.27	99.06	0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium sp000752095	Europe
100046	GUT_GENOME000198	MGYG-HGUT-00046	102555	79.72015	138492	15	1	22559	32	Isolate	2558115	69	75738	52.7	99.4	1.2	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera sp900066485	Europe
100047	GUT_GENOME000200	MGYG-HGUT-00047	101423	79.7643	NA	14	0.571428571428571	4222	5	Isolate	3448644	61	142689	28.83	96.77	3.41	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium disporicum	Europe
100048	GUT_GENOME000202	MGYG-HGUT-00048	102372	78.2917	NA	14	1	4407	6	Isolate	2457223	32	342082	27.23	98.39	1.29	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_P;s__Clostridium_P ventriculi	Europe
100049	GUT_GENOME000203	MGYG-HGUT-00049	100001	83.356	NA	15	1	3389	1	Isolate	3389399	43	262905	27.61	98.59	0.7	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__GCA-900066495 sp900066495	Europe
100050	GUT_GENOME000205	MGYG-HGUT-00050	100213	82.70465	NA	15	1	12353	10	Isolate	3884358	122	70783	43.13	98.73	1.27	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066505	Europe
100051	GUT_GENOME000215	MGYG-HGUT-00051	101178	89.05105	NA	15	1	8813	7	Isolate	3553289	97	93756	49.95	99.37	0.63	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575;s__GCA-900066575 sp900066385	Europe
100052	GUT_GENOME000219	MGYG-HGUT-00052	100080	91.5174	17953	15	0.933333333333333	9277	17	Isolate	3273900	86	90843	43.79	99.33	3.36	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes sp000508985	Europe
100053	GUT_GENOME000220	MGYG-HGUT-00053	102082	82.8928	NA	15	1	1838	1	Isolate	2181706	53	125149	64.75	99.52	0.48	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002358415	Europe
100054	GUT_GENOME000221	MGYG-HGUT-00054	103351	91.8848	NA	15	0.8	4461	1	Isolate	5213724	199	61670	43.32	98.88	0.09	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides acidifaciens	Europe
100055	GUT_GENOME000224	MGYG-HGUT-00055	NA	NA	NA	15	1	2810	1	Isolate	3235237	113	72364	49.91	97.92	0.38	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum intestinale	Europe
100056	GUT_GENOME000225	MGYG-HGUT-00056	101948	77.0071	NA	15	1	3110	3	Isolate	3324928	81	106893	47.72	99.43	0.75	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002358615	Europe
100057	GUT_GENOME000231	MGYG-HGUT-00057	101346	91.2806	NA	15	0.933333333333333	3861	1	Isolate	4370344	131	81097	45.93	98.51	0.37	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp002491635	Europe
100058	GUT_GENOME000232	MGYG-HGUT-00058	NA	NA	NA	15	1	3122	1	Isolate	3448177	31	187346	42.48	97.91	2.11	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I sp900066595	Europe
100059	GUT_GENOME000236	MGYG-HGUT-00059	100086	81.9866	NA	15	1	9809	18	Isolate	2886876	33	164783	56.38	99.33	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066645	Europe
100060	GUT_GENOME000237	MGYG-HGUT-00060	100187	93.73645	8	15	1	336094	3163	Isolate	3236506	50	437259	37.95	98.66	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_B	Europe
100061	GUT_GENOME000243	MGYG-HGUT-00061	102083	94.187	NA	NA	NA	2057	3	Isolate	2183776	93	43584	60.12	99.19	0.81	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_E	Europe
100062	GUT_GENOME000245	MGYG-HGUT-00062	101007	87.32475	55234	15	1	32270	87	Isolate	3140383	25	445289	28.6	100	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter bartlettii	Europe
